,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Coihaique,CL,2022-02-18 07:31:19,-45.5752,-72.0662,57.15,67,0,5.75
138,Upernavik,GL,2022-02-18 07:32:29,72.7868,-56.1549,-25.47,98,100,5.97
139,Teya,RU,2022-02-18 07:32:29,60.3778,92.6267,13.68,86,100,6.96
140,Bambanglipuro,ID,2022-02-18 07:32:30,-7.95,110.2833,65.61,76,91,4.7
141,Pilar,BR,2022-02-18 07:32:30,-9.5972,-35.9567,71.53,90,74,3.71
142,Clyde River,CA,2022-02-18 07:32:31,70.4692,-68.5914,-30.77,75,20,5.75
143,Meadow Lake,US,2022-02-18 07:31:01,34.8014,-106.5436,34.12,57,0,3.98
144,Cangzhou,CN,2022-02-18 07:32:32,38.3167,116.8667,36.12,36,100,4.99
145,Fort Nelson,CA,2022-02-18 07:32:32,58.8053,-122.7002,-4.41,77,100,2.3
146,Leningradskiy,RU,2022-02-18 07:32:32,69.3833,178.4167,-18.33,98,98,9.86
147,Neufahrn,DE,2022-02-18 07:32:33,48.25,12.4333,46.99,89,84,5.95
148,Calama,CL,2022-02-18 07:31:13,-22.4667,-68.9333,48.69,53,0,10.36
149,Kaohsiung,TW,2022-02-18 07:32:34,22.6163,120.3133,75.15,71,75,8.05
150,Mokhsogollokh,RU,2022-02-18 07:32:34,61.4681,128.9203,-11.45,96,98,1.45
151,Lucea,JM,2022-02-18 07:32:34,18.451,-78.1736,73.26,77,6,6.6
152,Sechura,PE,2022-02-18 07:32:35,-5.5569,-80.8222,70.83,80,100,5.88
153,Broken Hill,AU,2022-02-18 07:31:24,-31.95,141.4333,78.51,27,0,17.27
154,Thompson,CA,2022-02-18 07:32:36,55.7435,-97.8558,-27.24,75,40,0.0
155,Saint-Francois,FR,2022-02-18 07:32:36,46.4154,3.9054,49.68,87,100,6.91
156,Qaanaaq,GL,2022-02-18 07:32:37,77.484,-69.3632,-6.99,54,54,2.3
157,Henties Bay,NA,2022-02-18 07:32:37,-22.116,14.2845,70.86,85,79,7.43
158,Boueni,YT,2022-02-18 07:32:37,-12.9025,45.0761,89.58,72,40,2.77
159,Severo-Kurilsk,RU,2022-02-18 07:32:38,50.6789,156.125,29.39,83,100,25.88
160,Puerto Ayora,EC,2022-02-18 07:32:38,-0.7393,-90.3518,76.55,92,100,5.01
161,Izhma,RU,2022-02-18 07:32:39,65.0083,53.9113,29.35,90,100,12.93
162,Torbay,CA,2022-02-18 07:30:09,47.6666,-52.7314,47.57,88,100,35.68
163,Lompoc,US,2022-02-18 07:32:39,34.6391,-120.4579,55.13,79,0,13.0
164,Monrovia,LR,2022-02-18 07:31:01,6.3005,-10.7969,78.98,83,70,3.74
165,Ambilobe,MG,2022-02-18 07:32:40,-13.2,49.05,88.86,63,73,1.74
166,Luangwa,ZM,2022-02-18 07:32:40,-15.6167,30.4167,77.18,84,94,1.81
167,Djougou,BJ,2022-02-18 07:32:41,9.7085,1.666,81.27,45,8,2.17
168,Paamiut,GL,2022-02-18 07:32:41,61.994,-49.6678,2.86,84,100,9.6
169,Avarua,CK,2022-02-18 07:32:42,-21.2078,-159.775,75.25,94,100,5.75
170,Panzhihua,CN,2022-02-18 07:32:42,26.5851,101.7128,75.34,16,0,2.66
171,Olafsvik,IS,2022-02-18 07:32:42,64.8945,-23.7142,28.92,67,63,10.49
172,Moroni,KM,2022-02-18 07:32:43,-11.7022,43.2551,87.8,74,40,6.91
173,Viransehir,TR,2022-02-18 07:32:43,37.2353,39.7631,43.99,89,100,4.41
174,Castro,BR,2022-02-18 07:29:02,-24.7911,-50.0119,55.33,94,1,2.53
175,Srednekolymsk,RU,2022-02-18 07:32:44,67.45,153.6833,-33.57,100,68,2.3
176,Harper,LR,2022-02-18 07:32:44,4.375,-7.7169,79.79,84,100,6.67
177,Kurumkan,RU,2022-02-18 07:32:45,54.3,110.3,-1.32,91,85,1.12
178,Verkhnyaya Inta,RU,2022-02-18 07:32:45,65.9811,60.3094,23.72,83,100,8.86
179,East London,ZA,2022-02-18 07:32:46,-33.0153,27.9116,72.54,78,40,9.22
180,Azua,DO,2022-02-18 07:32:46,18.4532,-70.7349,68.94,70,3,5.17
181,Lishan,CN,2022-02-18 07:32:47,31.8576,113.2951,40.39,59,98,11.88
182,Nikolskoye,RU,2022-02-18 07:33:47,59.7035,30.7861,31.91,92,100,13.78
183,Mar Del Plata,AR,2022-02-18 07:33:48,-38.0023,-57.5575,64.09,82,40,18.01
184,Waipawa,NZ,2022-02-18 07:33:48,-41.4122,175.5153,63.45,76,3,8.86
185,Takoradi,GH,2022-02-18 07:33:49,4.8845,-1.7554,80.96,83,100,8.5
186,Dunedin,NZ,2022-02-18 07:33:49,-45.8742,170.5036,69.8,47,95,4.0
187,Biak,ID,2022-02-18 07:33:50,-0.9131,122.8766,80.42,76,100,0.63
188,Zaozerne,UA,2022-02-18 07:33:50,45.1582,33.2787,46.94,84,100,13.65
189,Ishigaki,JP,2022-02-18 07:33:51,24.3448,124.1572,68.13,100,75,20.71
190,Kampene,CD,2022-02-18 07:33:51,-3.6,26.6667,78.39,71,97,3.02
191,Salalah,OM,2022-02-18 07:33:52,17.0151,54.0924,80.69,47,0,5.75
192,Cockburn Town,TC,2022-02-18 07:33:52,21.4612,-71.1419,77.09,76,0,18.57
193,Iranduba,BR,2022-02-18 07:33:53,-3.2847,-60.1861,77.29,98,100,1.01
194,Bubaque,GW,2022-02-18 07:33:53,11.2833,-15.8333,77.07,71,6,6.62
195,Naryan-Mar,RU,2022-02-18 07:33:53,67.6713,53.087,24.76,96,100,15.93
196,Ostrovnoy,RU,2022-02-18 07:33:54,68.0531,39.5131,28.72,96,100,15.37
197,Hun,LY,2022-02-18 07:33:55,29.1268,15.9477,52.12,70,0,10.13
198,Acarau,BR,2022-02-18 07:31:09,-2.8856,-40.12,78.31,80,100,5.66
199,Madridejos,ES,2022-02-18 07:33:56,39.4682,-3.532,48.97,61,6,5.32
200,Hamilton,US,2022-02-18 07:33:50,39.1834,-84.5333,31.05,85,100,17.27
201,Kruisfontein,ZA,2022-02-18 07:33:57,-34.0033,24.7314,70.88,49,0,13.33
202,Port-Gentil,GA,2022-02-18 07:33:57,-0.7193,8.7815,82.36,83,40,6.91
203,Cidreira,BR,2022-02-18 07:33:58,-30.1811,-50.2056,72.03,81,100,9.71
204,Luderitz,NA,2022-02-18 07:33:58,-26.6481,15.1594,79.38,57,4,10.38
205,Kawalu,ID,2022-02-18 07:33:59,-7.3817,108.2082,78.17,85,100,1.68
206,Narrabri,AU,2022-02-18 07:33:59,-30.3167,149.7833,96.89,17,69,13.8
207,Puerto Cabezas,NI,2022-02-18 07:34:00,14.0351,-83.3888,74.07,89,8,8.79
208,Mayo,US,2022-02-18 07:34:00,38.8876,-76.5119,66.65,92,100,20.71
209,Nanortalik,GL,2022-02-18 07:34:01,60.1432,-45.2371,18.36,57,100,7.72
210,Provideniya,RU,2022-02-18 07:34:02,64.3833,-173.3,3.56,81,100,16.69
211,Celestun,MX,2022-02-18 07:34:02,20.8667,-90.4,74.44,85,0,10.94
212,Cape Town,ZA,2022-02-18 07:31:16,-33.9258,18.4232,80.11,47,0,17.27
213,Cabedelo,BR,2022-02-18 07:34:03,-6.9811,-34.8339,75.87,74,9,5.95
214,Cayenne,GF,2022-02-18 07:30:07,4.9333,-52.3333,79.09,83,75,3.0
215,Atbasar,KZ,2022-02-18 07:34:04,51.8,68.3333,15.3,81,37,10.33
216,Longyearbyen,SJ,2022-02-18 07:34:04,78.2186,15.6401,12.04,62,20,17.27
217,Tasiilaq,GL,2022-02-18 07:34:05,65.6145,-37.6368,23.16,90,100,23.51
218,Thinadhoo,MV,2022-02-18 07:34:05,0.5333,72.9333,82.17,67,67,11.41
219,Zhuji,CN,2022-02-18 07:34:06,29.7188,120.2423,42.71,98,100,1.97
220,Mezen,RU,2022-02-18 07:34:06,65.8522,44.24,32.97,99,100,11.41
221,Nombre De Dios,MX,2022-02-18 07:34:07,23.85,-104.2333,54.81,48,83,7.58
222,Hervey Bay,AU,2022-02-18 07:34:07,-25.2986,152.8535,83.01,70,0,5.99
223,Birao,CF,2022-02-18 07:34:07,10.2849,22.7882,87.6,8,68,6.53
224,Dawson Creek,CA,2022-02-18 07:34:08,55.7666,-120.2362,4.64,72,100,10.36
225,Saint George,US,2022-02-18 07:32:48,37.1041,-113.5841,42.35,39,0,3.44
226,Kodiak,US,2022-02-18 07:35:08,57.79,-152.4072,44.11,70,100,4.61
227,Den Helder,NL,2022-02-18 07:35:09,52.9599,4.7593,46.08,93,100,25.01
228,Itapaci,BR,2022-02-18 07:35:09,-14.9508,-49.5494,66.67,98,69,1.99
229,Cabo San Lucas,MX,2022-02-18 07:32:00,22.8909,-109.9124,67.51,74,100,4.12
230,Port Hedland,AU,2022-02-18 07:31:28,-20.3167,118.5667,100.45,39,52,17.27
231,Narsaq,GL,2022-02-18 07:35:10,60.9167,-46.05,12.42,65,100,8.7
232,Ponta Delgada,PT,2022-02-18 07:35:11,37.7333,-25.6667,52.5,66,75,16.11
233,Choix,MX,2022-02-18 07:35:11,26.7092,-108.3219,54.64,41,40,4.76
234,Whitehorse,CA,2022-02-18 07:35:11,60.7161,-135.0538,18.37,84,100,3.44
235,Puerto Escondido,MX,2022-02-18 07:35:12,15.85,-97.0667,77.25,78,0,4.7
236,Temir,KZ,2022-02-18 07:35:12,49.1414,57.13,27.03,87,99,13.04
237,San Cristobal,VE,2022-02-18 07:35:13,7.7669,-72.225,68.43,76,95,0.85
238,Guerrero Negro,MX,2022-02-18 07:35:13,27.9769,-114.0611,58.71,42,0,1.92
239,Koslan,RU,2022-02-18 07:35:14,63.4564,48.8989,33.35,97,100,14.32
240,Namibe,AO,2022-02-18 07:35:14,-15.1961,12.1522,77.63,78,75,9.22
241,Vitim,RU,2022-02-18 07:35:15,59.4511,112.5578,5.14,88,100,6.24
242,Ekhabi,RU,2022-02-18 07:35:15,53.5102,142.9671,13.32,94,100,15.86
243,Irbeyskoye,RU,2022-02-18 07:35:16,55.6428,95.4522,22.46,78,100,10.51
244,Anaconda,US,2022-02-18 07:35:16,46.1285,-112.9423,34.79,91,89,7.61
245,Point Pedro,LK,2022-02-18 07:35:17,9.8167,80.2333,82.98,62,14,11.32
246,Bengkulu,ID,2022-02-18 07:35:17,-3.8004,102.2655,84.6,64,97,6.04
247,Krasnogorsk,RU,2022-02-18 07:35:18,55.8225,37.3181,37.06,93,100,11.18
248,Mayumba,GA,2022-02-18 07:35:18,-3.432,10.6554,79.92,81,97,2.73
249,Galle,LK,2022-02-18 07:34:42,6.0367,80.217,83.14,67,78,8.12
250,Bonthe,SL,2022-02-18 07:35:19,7.5264,-12.505,78.69,80,62,3.49
251,Portland,US,2022-02-18 07:34:10,45.5234,-122.6762,46.6,91,40,3.44
252,Puerto Del Rosario,ES,2022-02-18 07:35:19,28.5004,-13.8627,58.75,77,20,8.05
253,Cap Malheureux,MU,2022-02-18 07:35:20,-19.9842,57.6142,85.46,68,94,14.0
254,Lagunas,PE,2022-02-18 07:35:20,-5.2269,-75.6753,72.05,98,100,1.99
255,Nizwa,OM,2022-02-18 07:35:21,22.9333,57.5333,75.18,31,0,6.33
256,Maldonado,UY,2022-02-18 07:35:21,-34.6667,-54.9167,64.22,82,0,4.52
257,Ilebo,CD,2022-02-18 07:35:22,-4.3167,20.5833,83.3,65,45,2.17
258,The Pas,CA,2022-02-18 07:31:01,53.8251,-101.2541,-7.58,77,100,3.44
259,Martil,MA,2022-02-18 07:35:22,35.6166,-5.2752,53.67,87,0,5.75
260,Jalu,LY,2022-02-18 07:35:23,29.0331,21.5482,54.81,66,2,13.67
261,Zdvinsk,RU,2022-02-18 07:35:23,54.7021,78.661,19.94,92,100,12.66
262,Dongsheng,CN,2022-02-18 07:35:24,39.8161,109.9776,16.03,19,97,20.67
263,Los Llanos De Aridane,ES,2022-02-18 07:30:57,28.6585,-17.9182,58.75,51,75,8.99
264,Kajaani,FI,2022-02-18 07:35:25,64.2273,27.7285,28.45,100,100,8.05
265,Caravelas,BR,2022-02-18 07:31:27,-17.7125,-39.2481,73.89,95,88,4.92
266,Kulhudhuffushi,MV,2022-02-18 07:35:26,6.6221,73.07,81.48,72,57,7.49
267,Mundra,IN,2022-02-18 07:35:26,22.85,69.7333,80.58,31,0,2.68
268,Haimen,CN,2022-02-18 07:35:27,23.1935,116.6142,64.29,77,52,21.25
269,Viedma,AR,2022-02-18 07:35:27,-40.8135,-62.9967,60.67,59,0,15.73
270,Baiao,BR,2022-02-18 07:35:28,-2.7906,-49.6717,71.37,99,100,1.66
271,Dalbandin,PK,2022-02-18 07:32:51,28.8947,64.4101,64.92,21,0,6.33
272,Creel,MX,2022-02-18 07:36:28,27.75,-107.6333,30.13,49,0,4.25
273,Calabozo,VE,2022-02-18 07:36:29,8.9242,-67.4293,74.34,67,4,7.78
274,Bako,ET,2022-02-18 07:36:29,5.7833,36.5667,83.84,31,39,3.47
275,Cochrane,CA,2022-02-18 07:35:15,51.1834,-114.4687,32.7,77,100,0.0
276,Tazovskiy,RU,2022-02-18 07:36:30,67.4667,78.7,12.13,95,100,8.32
277,Bar Harbor,US,2022-02-18 07:36:30,44.3876,-68.2039,52.23,93,100,24.16
278,Podgornoye,RU,2022-02-18 07:36:31,51.735,39.1496,37.62,87,100,13.42
279,Riviere-Au-Renard,CA,2022-02-18 07:36:31,48.9957,-64.3971,28.69,96,100,7.52
280,Faanui,PF,2022-02-18 07:36:32,-16.4833,-151.75,80.47,73,14,8.39
281,Martapura,ID,2022-02-18 07:36:32,-3.4167,114.85,82.49,74,20,3.44
282,Plerin,FR,2022-02-18 07:36:32,48.5425,-2.7798,49.77,81,75,26.46
283,Lima,PE,2022-02-18 07:34:37,-12.0432,-77.0282,67.14,38,40,5.75
284,Sinop,TR,2022-02-18 07:36:33,41.7711,34.8709,43.23,79,100,12.66
285,Marysville,US,2022-02-18 07:36:34,48.0518,-122.1771,47.97,92,100,6.91
286,Tateyama,JP,2022-02-18 07:36:35,34.9833,139.8667,52.07,36,37,9.37
287,Poum,NC,2022-02-18 07:36:35,-20.2333,164.0167,82.78,78,11,14.23
288,Bundaberg,AU,2022-02-18 07:36:36,-24.85,152.35,82.69,73,16,12.66
289,Sorong,ID,2022-02-18 07:36:36,-0.8833,131.25,82.11,77,100,4.92
290,Ilulissat,GL,2022-02-18 07:36:37,69.2167,-51.1,5.02,78,100,9.22
291,Constitucion,CL,2022-02-18 07:36:37,-35.3333,-72.4167,57.33,58,0,9.73
292,Payson,US,2022-02-18 07:36:37,40.0444,-111.7321,33.4,73,0,4.61
293,Niono,ML,2022-02-18 07:36:38,14.2526,-5.993,70.23,17,1,8.41
294,Sao Joao Da Barra,BR,2022-02-18 07:36:38,-21.6403,-41.0511,72.55,91,96,2.71
295,Zapolyarnyy,RU,2022-02-18 07:36:39,69.4154,30.8136,27.68,92,100,26.98
